year, fantasy, poetry, science_fiction, romance 
1918, 0, 2, 1, 0 
1963, 2, 1, 3, 3 
1970, 3, 5, 5, 2 
1935, 1, 2, 2, 1 
1950, 3, 7, 1, 4 
1948, 4, 6, 7, 7 
1960, 3, 1, 2, 2 
1988, 1, 1, 0, 0 
1968, 11, 4, 10, 1 
1951, 7, 3, 4, 7 
1985, 0, 0, 0, 0 
1966, 4, 4, 3, 2 
1965, 6, 4, 4, 3 
1967, 6, 4, 1, 3 
1992, 0, 1, 0, 0 
1978, 6, 3, 3, 2 
1957, 5, 5, 6, 1 
1947, 0, 6, 1, 4 
1975, 5, 2, 3, 3 
1973, 7, 2, 4, 2 
1959, 3, 2, 2, 3 
1984, 2, 1, 1, 0 
1980, 2, 1, 0, 1 
1982, 5, 2, 4, 0 
1952, 7, 3, 4, 3 
1936, 1, 5, 1, 2 
1956, 1, 5, 4, 1 
1929, 0, 1, 1, 1 
1979, 4, 1, 2, 0 
1955, 2, 3, 3, 1 
1986, 0, 1, 0, 0 
1972, 7, 4, 7, 1 
1945, 2, 3, 1, 1 
1961, 4, 1, 4, 2 
1934, 0, 1, 0, 0 
1976, 5, 4, 3, 1 
1946, 6, 5, 4, 3 
1937, 2, 2, 1, 1 
1953, 1, 1, 3, 6 
1996, 0, 0, 0, 0 
1949, 4, 9, 3, 7 
1938, 3, 0, 2, 3 
1941, 1, 3, 2, 3 
1943, 3, 4, 1, 3 
1964, 3, 4, 3, 1 
1971, 5, 3, 6, 0 
1991, 1, 0, 1, 0 
1922, 0, 2, 1, 1 
1983, 2, 0, 1, 1 
1927, 3, 2, 3, 1 
1902, 0, 0, 1, 0 
1969, 5, 6, 4, 1 
1990, 1, 1, 1, 0 
1989, 0, 0, 0, 0 
1962, 7, 4, 3, 4 
1987, 1, 1, 0, 0 
1939, 3, 4, 2, 1 
1917, 0, 2, 0, 0 
1981, 2, 3, 1, 0 
1974, 7, 2, 3, 1 
1906, 0, 1, 0, 0 
1977, 6, 0, 2, 2 
1904, 0, 1, 4, 0 
1958, 5, 0, 4, 5 
1926, 0, 1, 0, 0 
1942, 1, 5, 1, 6 
1911, 2, 5, 2, 1 
1998, 0, 0, 0, 0 
1995, 0, 0, 0, 0 
1923, 0, 1, 0, 1 
1940, 1, 6, 2, 1 
1954, 3, 3, 2, 9 
1900, 0, 1, 0, 0 
1921, 0, 0, 0, 1 
1944, 1, 5, 0, 3 
1912, 1, 0, 1, 0 
1914, 2, 2, 2, 0 
1910, 0, 1, 5, 1 
1908, 1, 0, 0, 0 
1932, 0, 1, 1, 1 
1933, 0, 3, 1, 0 
1924, 0, 0, 1, 0 
1930, 2, 1, 2, 0 
1916, 0, 1, 0, 0 
1925, 0, 0, 1, 0 
1994, 0, 0, 0, 0 
1903, 1, 3, 0, 0 
1915, 0, 2, 0, 1 
1931, 1, 3, 2, 0 
1907, 2, 1, 3, 0 
1905, 1, 0, 0, 0 
1913, 1, 1, 0, 0 
1993, 1, 0, 0, 0 
1928, 1, 1, 1, 1 
1901, 1, 1, 2, 0 
1919, 0, 1, 2, 0 
1909, 2, 1, 4, 0 
1920, 0, 2, 1, 0 
1999, 1, 0, 1, 0 
2000, 0, 0, 0, 0 
