year, Fantasy, Fantasy literature, Dark fantasy, Urban fantasy, Historical fantasy, High fantasy, Science fantasy, Comic fantasy 
1969, 11, 0, 0, 0 
1951, 15, 1, 0, 0 
1973, 11, 1, 0, 0 
1968, 17, 1, 0, 0 
1938, 7, 0, 0, 0 
1912, 2, 0, 0, 0 
1957, 14, 1, 0, 1 
1970, 9, 1, 0, 0 
1965, 10, 2, 0, 0 
1948, 14, 1, 0, 1 
1960, 10, 0, 0, 0 
1972, 9, 1, 0, 0 
1966, 10, 0, 0, 0 
1941, 2, 1, 0, 0 
1955, 11, 1, 0, 0 
1943, 9, 1, 0, 0 
1982, 4, 0, 1, 0 
1956, 6, 0, 0, 0 
1976, 11, 1, 0, 0 
1907, 7, 1, 0, 0 
1959, 11, 0, 0, 0 
1987, 1, 0, 0, 0 
1939, 6, 0, 0, 0 
1952, 18, 0, 0, 0 
1999, 2, 0, 0, 0 
1967, 11, 2, 0, 1 
1995, 1, 0, 0, 0 
1909, 3, 0, 0, 0 
1908, 3, 0, 0, 0 
1958, 10, 1, 0, 0 
1978, 9, 1, 0, 0 
1946, 9, 1, 0, 0 
1983, 3, 0, 0, 0 
1934, 4, 0, 0, 0 
1924, 2, 2, 0, 0 
1979, 8, 0, 0, 0 
1971, 11, 2, 0, 0 
1980, 4, 0, 0, 0 
1984, 2, 0, 0, 0 
1974, 12, 0, 0, 0 
1975, 9, 0, 0, 0 
1977, 12, 0, 0, 0 
1950, 6, 3, 0, 0 
1953, 6, 1, 0, 0 
1964, 11, 1, 0, 0 
1942, 3, 0, 0, 0 
1911, 4, 0, 0, 0 
1937, 5, 0, 0, 0 
1947, 10, 0, 0, 0 
1988, 8, 0, 0, 0 
1963, 8, 2, 0, 0 
1961, 9, 0, 0, 2 
1949, 10, 2, 0, 0 
1927, 3, 0, 0, 0 
1905, 1, 0, 0, 0 
1945, 6, 1, 1, 0 
1931, 3, 2, 0, 0 
1992, 1, 0, 0, 0 
1914, 6, 0, 0, 0 
1919, 1, 0, 0, 0 
1915, 2, 1, 0, 0 
1910, 3, 0, 0, 0 
1901, 2, 0, 0, 0 
1922, 1, 0, 0, 0 
1930, 5, 0, 1, 0 
1906, 1, 1, 0, 0 
1981, 4, 0, 0, 0 
1962, 15, 1, 0, 0 
1944, 4, 1, 0, 0 
1923, 1, 0, 0, 0 
1954, 5, 1, 0, 0 
1916, 1, 1, 0, 0 
1903, 1, 0, 0, 0 
1940, 1, 0, 0, 0 
1932, 3, 0, 0, 0 
1921, 1, 0, 1, 0 
1928, 3, 0, 1, 0 
1935, 4, 0, 0, 0 
1990, 1, 0, 0, 0 
1929, 3, 0, 1, 0 
1991, 1, 0, 0, 0 
1913, 1, 0, 0, 0 
1918, 2, 0, 0, 0 
1994, 1, 0, 0, 0 
1926, 2, 0, 0, 0 
1933, 3, 0, 0, 0 
1917, 2, 0, 0, 0 
1920, 1, 0, 0, 0 
1936, 1, 1, 0, 0 
1993, 1, 0, 0, 0 
