year, childrens_literature, fantasy, horror_thriller, romance, science_fiction, young_adult 
1936, 3, 2, 4, 0, 2, 3
1988, 1, 8, 2, 0, 2, 3
1918, 2, 2, 1, 0, 5, 0
1963, 7, 13, 15, 0, 13, 8
1969, 5, 12, 11, 0, 11, 4
1970, 8, 14, 11, 0, 10, 5
1951, 9, 19, 11, 0, 17, 0
1935, 5, 4, 3, 0, 8, 1
1950, 3, 9, 9, 0, 12, 5
1940, 4, 1, 4, 0, 3, 2
1966, 5, 11, 10, 0, 9, 2
1973, 4, 14, 4, 0, 7, 9
1968, 5, 21, 14, 0, 18, 4
1909, 4, 3, 3, 0, 6, 0
1948, 9, 18, 12, 0, 14, 5
1904, 5, 0, 2, 0, 4, 0
1962, 4, 17, 14, 0, 13, 2
1993, 0, 1, 0, 0, 0, 2
1911, 2, 4, 2, 0, 4, 1
1965, 5, 15, 12, 0, 9, 4
1934, 8, 5, 1, 0, 5, 4
1980, 2, 5, 3, 0, 1, 4
1960, 5, 11, 10, 0, 11, 2
1944, 9, 6, 6, 0, 8, 0
1987, 0, 1, 1, 0, 0, 2
1977, 1, 13, 10, 0, 4, 5
1931, 6, 5, 3, 0, 6, 3
1941, 7, 3, 5, 0, 6, 4
1928, 10, 3, 3, 0, 10, 5
1919, 4, 1, 1, 0, 6, 0
1978, 2, 12, 6, 0, 5, 3
1985, 1, 0, 2, 0, 0, 0
1992, 0, 1, 0, 0, 0, 0
1967, 9, 16, 10, 0, 8, 9
1964, 4, 13, 8, 0, 11, 3
1958, 7, 12, 18, 0, 8, 6
1972, 7, 15, 8, 0, 13, 5
1955, 7, 13, 12, 0, 9, 6
1974, 5, 15, 10, 0, 7, 8
1976, 0, 17, 9, 0, 6, 3
1975, 6, 11, 4, 0, 7, 6
1959, 11, 14, 9, 0, 7, 4
1979, 3, 9, 4, 0, 5, 6
1982, 3, 6, 2, 0, 5, 7
1901, 1, 2, 1, 0, 2, 1
1938, 5, 7, 7, 0, 6, 3
1925, 8, 0, 1, 0, 7, 0
1942, 6, 3, 4, 0, 5, 4
1920, 6, 1, 3, 0, 7, 1
1981, 1, 4, 2, 0, 2, 6
1990, 0, 1, 0, 0, 1, 1
1986, 0, 0, 0, 0, 0, 4
1912, 2, 2, 0, 0, 3, 1
1957, 5, 15, 17, 0, 17, 2
1947, 5, 11, 8, 0, 16, 6
1946, 7, 12, 11, 0, 14, 6
1937, 4, 6, 3, 0, 8, 3
1984, 0, 2, 3, 0, 3, 6
1952, 5, 20, 12, 0, 12, 2
1954, 8, 7, 6, 0, 11, 4
1949, 7, 13, 11, 0, 9, 2
1956, 12, 6, 5, 0, 8, 4
1929, 8, 3, 3, 0, 3, 1
1983, 0, 3, 3, 0, 1, 1
1924, 6, 6, 2, 0, 2, 0
1922, 4, 1, 1, 0, 7, 0
1961, 5, 12, 5, 0, 10, 1
1921, 6, 2, 1, 0, 6, 2
1989, 0, 0, 0, 0, 0, 1
1945, 9, 9, 4, 0, 10, 1
1903, 4, 1, 2, 0, 0, 0
1933, 3, 4, 2, 0, 6, 1
1971, 4, 14, 10, 0, 13, 5
1927, 4, 4, 4, 0, 4, 1
1991, 0, 1, 0, 0, 1, 0
1932, 4, 3, 3, 0, 7, 1
1953, 6, 11, 11, 0, 12, 3
1902, 3, 0, 0, 0, 2, 1
1999, 0, 2, 0, 0, 1, 0
1996, 0, 0, 0, 0, 0, 0
1914, 1, 6, 2, 0, 8, 0
1907, 5, 8, 1, 0, 8, 0
1913, 1, 1, 0, 0, 1, 0
1908, 5, 3, 0, 0, 5, 0
1910, 5, 3, 3, 0, 8, 1
1943, 7, 11, 7, 0, 4, 1
1917, 2, 2, 3, 0, 3, 1
1900, 4, 0, 1, 0, 1, 0
1926, 7, 2, 1, 0, 3, 0
1994, 1, 1, 2, 0, 0, 1
1906, 5, 2, 2, 0, 2, 0
1916, 2, 2, 2, 0, 2, 0
1939, 6, 6, 4, 0, 8, 2
1930, 6, 5, 4, 0, 8, 0
1923, 9, 1, 3, 0, 6, 0
1995, 1, 1, 0, 0, 0, 0
1905, 1, 1, 0, 0, 1, 0
1998, 0, 0, 0, 0, 0, 0
2000, 0, 0, 0, 0, 0, 0
1915, 5, 3, 3, 0, 5, 0
1997, 1, 0, 0, 0, 0, 0
