year, Horror fiction, Thriller (genre), Techno-thriller, Legal thriller, Psychological thriller 
1940, 0, 2, 1,1, 0  
1966, 4, 6, 0,0, 0  
1959, 5, 4, 0,0, 0  
1952, 7, 4, 0,1, 0  
1970, 7, 4, 0,0, 0  
1965, 8, 4, 0,0, 1  
1974, 4, 5, 1,0, 0  
1920, 1, 2, 0,0, 0  
1958, 7, 6, 0,2, 2  
1941, 3, 2, 0,0, 0  
1917, 2, 1, 0,0, 0  
1928, 1, 1, 0,0, 0  
1956, 0, 5, 1,0, 0  
1976, 8, 1, 0,0, 0  
1975, 4, 0, 0,0, 0  
1939, 3, 1, 0,0, 0  
1967, 7, 5, 0,0, 0  
1981, 1, 1, 0,0, 0  
1960, 7, 5, 0,0, 0  
1969, 5, 6, 1,0, 0  
1936, 2, 2, 0,0, 0  
1909, 2, 1, 0,0, 0  
1978, 5, 1, 0,0, 0  
1946, 9, 4, 0,0, 0  
1957, 11, 7, 0,1, 0  
1953, 7, 4, 1,1, 0  
1951, 8, 3, 0,0, 0  
1915, 1, 2, 0,0, 0  
1927, 1, 3, 0,0, 0  
1924, 2, 0, 0,0, 0  
1971, 7, 3, 0,0, 0  
1961, 3, 1, 1,1, 0  
1963, 10, 4, 0,0, 1  
1937, 2, 1, 0,0, 0  
1964, 2, 4, 0,0, 0  
1942, 1, 1, 2,0, 0  
1955, 8, 3, 0,2, 0  
1943, 5, 3, 0,0, 0  
1962, 10, 7, 1,0, 1  
1977, 5, 4, 0,0, 0  
1988, 0, 2, 0,0, 0  
1949, 6, 3, 0,1, 0  
1929, 2, 1, 0,0, 0  
1907, 1, 0, 0,0, 0  
1950, 3, 6, 0,0, 0  
1945, 3, 1, 0,0, 1  
1923, 0, 3, 0,0, 0  
1987, 0, 1, 0,0, 0  
1904, 1, 1, 0,0, 0  
1948, 7, 6, 0,0, 0  
1944, 1, 3, 0,1, 0  
1901, 1, 0, 0,0, 0  
1932, 2, 1, 0,0, 0  
1938, 4, 3, 0,0, 0  
1910, 3, 0, 0,0, 0  
1968, 12, 4, 0,0, 1  
1982, 1, 0, 0,0, 0  
1973, 2, 1, 0,0, 0  
1930, 2, 1, 0,0, 1  
1934, 1, 0, 0,0, 0  
1903, 1, 1, 0,0, 0  
1972, 6, 2, 0,0, 0  
1947, 5, 3, 1,0, 0  
1983, 2, 0, 1,0, 0  
1985, 0, 2, 0,0, 0  
1931, 1, 2, 0,0, 0  
1911, 1, 1, 0,0, 0  
1979, 2, 2, 0,0, 0  
1906, 1, 1, 0,0, 0  
1935, 1, 2, 0,0, 0  
1954, 2, 3, 0,1, 1  
1994, 0, 1, 0,0, 0  
1933, 1, 1, 0,0, 0  
1984, 0, 1, 1,0, 0  
1980, 2, 1, 0,0, 0  
1922, 1, 1, 0,0, 0  
1921, 0, 0, 0,0, 1  
1925, 0, 1, 0,0, 0  
1919, 1, 0, 0,0, 0  
1926, 1, 0, 0,0, 0  
1916, 1, 0, 0,0, 0  
1918, 1, 0, 0,0, 0  
1914, 2, 0, 0,0, 0  
