name, birth_year, genre
A.J._Healy Fantasy, 1969, Fantasy
A._A._Attanasio Science fiction, 1911, Science fiction
A._A._Attanasio Fantasy, 1911, Fantasy
A._B._Spellman Poetry, 1935, Poetry
A._Lee_Martinez Science fiction, 1973, Science fiction
A._Lee_Martinez Fantasy, 1973, Fantasy
A._M._Dellamonica Science fiction, 1968, Science fiction
A._M._Dellamonica Fantasy, 1968, Fantasy
A._M._Klein, 1925, Poetry
Amiri_Baraka Poetry, 1934, Poetry
Amity_Shlaes, 1960, Non-fiction
Anabela_Basalo Romance novel, 1972, Romance novel
Anar_Rzayev, 1938, Fantasy
Anatol_E._Baconsky Satire, 1936, Satire
Andre_Norton Science fiction, 1979, Science fiction
Andre_Norton Romance novel, 1979, Romance novel
Andre_Norton Fantasy, 1979, Fantasy
Andrea_Hairston Science fiction, 1957, Science fiction
Andrea_Hairston Fantasy, 1957, Fantasy
Andrea_Wulf, 1972, Non-fiction
Andrei_Codrescu Non-fiction, 1985, Non-fiction
Andrei_Codrescu Poetry, 1985, Poetry
Andrew_J._McKiernan Fantasy, 1970, Fantasy
Andrew_J._Offutt, 1943, Science fiction
Andrew_Weiner, 1949, Science fiction
Andrius_Tapinas Science fiction, 1977, Science fiction
Andrzej_Tadeusz_Kijowski Poetry, 1954, Poetry
Andrzej_Ziemiański Fantasy, 1936, Fantasy
Andrzej_Zimniak, 1946, Science fiction
Andy_Weir, 1969, Science fiction
Angela_Steinmüller, 1941, Science fiction
Ann_C._Crispin Science fiction, 1965, Science fiction
Ann_Jones_(author), 1937, Non-fiction
Ann_Leckie Science fiction, 1966, Science fiction
Ann_Leckie Fantasy, 1966, Fantasy
Ann_Major, 1946, Romance novel
Ann_Maxwell, 1960, Science fiction
Anna_Godbersen Romance novel, 1980, Romance novel
Anne_Eyre_Worboys Romance novel, 1920, Romance novel
Anne_George_(writer) Poetry, 1927, Poetry
Anne_Holmberg Romance novel, 1938, Romance novel
Anne_Holmberg Fantasy, 1938, Fantasy
Anne_Mallory Romance novel, 1975, Romance novel
Anne_Mather, 1946, Romance novel
Anne_Robillard, 1955, Fantasy
Anne_Rundle Romance novel, 1920, Romance novel
Anne_Stuart, 1948, Romance novel
Anne_Weale, 1929, Romance novel
Anne_Wilkinson_(poet), 1910, Poetry
Anne_Wingate Romance novel, 1943, Romance novel
Anne_Wingate Fantasy, 1943, Fantasy
Annette_Broadrick, 1938, Romance novel
Annie_Finch, 1956, Poetry
Annie_M._G._Schmidt Poetry, 1983, Poetry
Anthony_Bailey_(author) Non-fiction, 1988, Non-fiction
Anthony_Eaton Fantasy, 1972, Fantasy
Anthony_Ryan_(writer) Science fiction, 1970, Science fiction
Anthony_Ryan_(writer) Fantasy, 1970, Fantasy
Antonio_Porta_(author) Poetry, 1935, Poetry
Alaya_Dawn_Johnson Science fiction, 1982, Science fiction
Alaya_Dawn_Johnson Fantasy, 1982, Fantasy
Albert_Tam, 1972, Science fiction
Aleksandr_Bushkov Non-fiction, 1956, Non-fiction
Aleksandr_Bushkov Science fiction, 1956, Science fiction
Aleksandr_Bushkov Fantasy, 1956, Fantasy
Aleksey_Nikolayevich_Tolstoy, 1979, Science fiction
Alenka_Rebula_Tuta Poetry, 1954, Poetry
Alethea_Kontis Science fiction, 1976, Science fiction
Alethea_Kontis Fantasy, 1976, Fantasy
Alex_Flinn Romance novel, 1966, Romance novel
Alex_Flinn Fantasy, 1966, Fantasy
Alex_Scarrow Science fiction, 1966, Science fiction
Alexander_Belyaev Science fiction, 1923, Science fiction
Alexander_C._Irvine, 1969, Science fiction
Alexander_Dyukov_(historian) Non-fiction, 1978, Non-fiction
Alexander_Jablokov, 1956, Science fiction
Alexander_M._Phillips Science fiction, 1907, Science fiction
Alexander_M._Phillips Fantasy, 1907, Fantasy
Alexander_Mazin Science fiction, 1959, Science fiction
Alexander_Mazin Fantasy, 1959, Fantasy
Alexander_Zorich Science fiction, 1973, Science fiction
Alexander_Zorich Fantasy, 1973, Fantasy
Alexandra_Bracken, 1987, Fantasy
Alexandru_Macedonski Satire, 1974, Satire
Alexandru_Macedonski Science fiction, 1974, Science fiction
Alexei_Maxim_Russell Fantasy, 1976, Fantasy
Alexis_Wright Non-fiction, 1950, Non-fiction
Aleš_Debeljak Poetry, 1979, Poetry
Alfonso_Gumucio_Dagron Poetry, 1950, Poetry
Alfred_Corn Poetry, 1943, Poetry
Alfredo_Pareja_Diezcanseco Non-fiction, 1912, Non-fiction
Alice_Borchardt Fantasy, 1939, Fantasy
Alice_Chetwynd_Ley, 1913, Romance novel
Alice_Hoffman Fantasy, 1929, Fantasy
Allan_Carpenter, 1917, Non-fiction
Allen_Grossman, 1932, Poetry
Allen_Steele, 1926, Science fiction
Amado_Nervo Poetry, 1947, Poetry
Ameer_Idreis, 1999, Fantasy
Amelia_Reynolds_Long Science fiction, 1904, Science fiction
Amelia_Rosselli, 1983, Poetry
Antun_Branko_Šimić, 1922, Poetry
Anu_Garg, 1979, Non-fiction
Ari_Berk Non-fiction, 1967, Non-fiction
Ari_Berk Poetry, 1967, Poetry
Ari_Berk Fantasy, 1967, Fantasy
Arinn_Dembo Science fiction, 1970, Science fiction
Arliss_Ryan Satire, 1950, Satire
Arnette_Lamb, 1947, Romance novel
Arthur_Machen Fantasy, 1909, Fantasy
Arthur_Sellings, 1921, Science fiction
Arthur_Tofte, 1902, Science fiction
Arto_Paasilinna Satire, 1942, Satire
Asad_Shabbir, 1995, Fantasy
Ashok_Sawhny, 1937, Poetry
Attila_József, 1967, Poetry
Audrey_Alexandra_Brown, 1927, Poetry
Audrey_Howard, 1929, Romance novel
Aurelio_González_Ovies Poetry, 1964, Poetry
Abdulla_Aliş Fantasy, 1908, Fantasy
Aco_Šopov, 1923, Poetry
Adam_James_Dalton, 1970, Fantasy
Adam_Niswander Fantasy, 1946, Fantasy
Adam_Wiśniewski-Snerg, 1969, Science fiction
Adrienne_Monson Fantasy, 1983, Fantasy
Adèle_Geras Poetry, 1944, Poetry
Agam_Wispi, 1930, Poetry
Agatha_Christie Romance novel, 1907, Romance novel
Ahmad_Nadeem_Qasmi Poetry, 1946, Poetry
Akimitsu_Takagi Science fiction, 1969, Science fiction
Al_Robles Poetry, 1930, Poetry
Al_Sarrantonio Science fiction, 1952, Science fiction
Al_Sarrantonio Fantasy, 1952, Fantasy
Alan_Burridge_(writer) Science fiction, 1951, Science fiction
Alan_Dean_Foster Science fiction, 1962, Science fiction
Alan_Dean_Foster Fantasy, 1962, Fantasy
Alan_E._Nourse, 1945, Science fiction
Alan_M._Clark Fantasy, 1957, Fantasy
Alasdair_Gray Science fiction, 1934, Science fiction
Alastair_Reynolds, 1939, Science fiction
